,url,date,content,id,username,outlinks,outlinksss,tcooutlinks,tcooutlinksss
15,https://twitter.com/MrRobinArora/status/1575097840262873088,2022-09-28 12:19:23+00:00,"Scam by #Flipkart in name of #bigbilliondays, you encourage to grab early deals which I did and 3 days later give extra bank discount by #ICICI also same seller gave extra 3000 off.
#flipkartscam #FlipkartBigBillionDays
#scam #ASUSIndia #Modi
@flipkartsupport @Flipkart #amazon https://t.co/f6NfXJQby8",1575097840262873088,MrRobinArora,[],,[],
16,https://twitter.com/aqfitindia/status/1575086872384000002,2022-09-28 11:35:48+00:00,"Make a splash without worrying with IP68 Water resistance on the all-new AQFiT W16.

Buy Now on @flipkart 🔥💯

#AQFiT #W16 #flipkart #bbd #bigbilliondays #proudlyindian #makeinindia https://t.co/J4F0mVn6ZY",1575086872384000002,aqfitindia,[],,[],
17,https://twitter.com/realmeTechLife/status/1575085410568441856,2022-09-28 11:30:00+00:00,"This #realMeDiwali play #BetterBassNonStop on #realmeBudsWireless2Neo ▶️

Snatch the musical offer now only at ₹999* from @Flipkart’s #BigBillionDays.

*T&amp;C Apply

Head here: https://t.co/Sl7vqm0WWm https://t.co/UMwpEChnzD",1575085410568441856,realmeTechLife,['http://bit.ly/3dCTvTG'],http://bit.ly/3dCTvTG,['https://t.co/Sl7vqm0WWm'],https://t.co/Sl7vqm0WWm
18,https://twitter.com/Sonu94Single/status/1575084830991462401,2022-09-28 11:27:42+00:00,"@flipkartsupport  I need help, my order was cancelled after the purchase. Your support has asked to place the order again but is denying for price match..
#bigbilliondays #flipkartscam",1575084830991462401,Sonu94Single,[],,[],
19,https://twitter.com/iamthirlok/status/1575081420351246337,2022-09-28 11:14:08+00:00,This year  #bigbilliondays js very underwhelming !? No one cares and interested !!  #FlipkartBigBillionDays #Flipkart #flipkartscam #Flipkartbigbillionday #AmazonGreatIndianFestival #inflation #iPhone #shopping #offers https://t.co/DvP1SoUuA0,1575081420351246337,iamthirlok,[],,[],
20,https://twitter.com/varun5/status/1575078527938199553,2022-09-28 11:02:39+00:00,@ThomsonTvIndia thanks for amazing service. Now more than a month and our issue still not resolved. #AmazonIndia #Flipkart thomsonTvIndia #bigbilliondays #GreatIndianFestival,1575078527938199553,varun5,[],,[],
21,https://twitter.com/bhupend95681341/status/1575076790426431488,2022-09-28 10:55:45+00:00,"I had placed the order of Realme phone on 23 sept., the delivery date was fixed 26 sept., but delivery is not done till 28 sept. then @Flipkart who is responsible for the delay?

#FlipkartBigBillionDays #ekart #bigbilliondays @Flipkart @Ekart @TheLallantop @ABPNews https://t.co/6xyDPQkrbd",1575076790426431488,bhupend95681341,[],,[],
22,https://twitter.com/Anoopnr/status/1575074622172635137,2022-09-28 10:47:08+00:00,Great offer for #samsung S21FE in #flipkart #bigbilliondays. 128gb model for ₹35k. Normally this sells for 50k.,1575074622172635137,Anoopnr,[],,[],
23,https://twitter.com/impawan55/status/1575074558444326912,2022-09-28 10:46:52+00:00,"@MadhavSheth1 Very disappointed with the flipkart and realme  services  I ordered realme slimbook from Flipkart bigbilliondays and the product is defective, neither the flipkart is responding nor the realme service centres ,technician's visit confirmed the defect but the team is saying that .. https://t.co/lGRSXyKY3a",1575074558444326912,impawan55,[],,[],
24,https://twitter.com/bhupend95681341/status/1575074512848068608,2022-09-28 10:46:41+00:00,#bigbilliondays2022 #bigbilliondays #bigbillionday #FlipkartBigBillionDays #ekart @ekartlogistics @TheLallantop #ABP,1575074512848068608,bhupend95681341,[],,[],
25,https://twitter.com/Piclooper/status/1575074178977660928,2022-09-28 10:45:22+00:00,"It's happening...
@Flipkart has finally shipped my product.
The happiness at this moment is indescribable.
How the customer has been humbled!
#bigbilliondays https://t.co/X67nJquaA8",1575074178977660928,Piclooper,[],,[],
26,https://twitter.com/123_nandini/status/1575073544480116738,2022-09-28 10:42:51+00:00,Scary . @amazonIN look into this on priority ! #AmazonIndia #bigbilliondays #amazonscam,1575073544480116738,123_nandini,[],,[],
27,https://twitter.com/FreeKaaMaal/status/1575072334964486147,2022-09-28 10:38:02+00:00,Big Billion Special - Solar Range By On Min 50% Off + Flat 10..6% FKM CB !!: #Flipkart #BigBillionDays #Freekaamaal #SolarPanel #Freekaamaal #FKMGoneWild https://t.co/IeSecveoJ9 #offers #deals #cashback,1575072334964486147,FreeKaaMaal,['https://bit.ly/3dOWVmp'],https://bit.ly/3dOWVmp,['https://t.co/IeSecveoJ9'],https://t.co/IeSecveoJ9
28,https://twitter.com/varun2709/status/1575070034098995200,2022-09-28 10:28:54+00:00,#bigbillionday #FlipkartBigBillionDays  #Flipkart #bigbilliondays #bigbilliondays2022 https://t.co/KjF6E6Batp,1575070034098995200,varun2709,['https://twitter.com/ThePerilousGirl/status/1575067216927916038'],https://twitter.com/ThePerilousGirl/status/1575067216927916038,['https://t.co/KjF6E6Batp'],https://t.co/KjF6E6Batp
29,https://twitter.com/DevanshJain95/status/1575068168900341760,2022-09-28 10:21:29+00:00,Kishor who?? This is how stupid @flipkartsupport is. 5 days have gone since expected delivery date but parcel is still not delivered. Since last 4 days its lying at nearest hub. Its an open box delivery so i have to be there to verify it. #bigbilliondays @PiyushGoyal help please. https://t.co/Bp6MgChyZn,1575068168900341760,DevanshJain95,['https://twitter.com/flipkartsupport/status/1575026813079719936'],https://twitter.com/flipkartsupport/status/1575026813079719936,['https://t.co/Bp6MgChyZn'],https://t.co/Bp6MgChyZn
30,https://twitter.com/Shubham87697496/status/1575063589815459840,2022-09-28 10:03:17+00:00,"things I learnt from Flipkart sale :-
1.they have no idea about sellers.
2.they have no idea about delivery partners.
3.creating hype by selling on large discount and than not delivering.
4.what they say on call won't write on mail.
#Flipkart #bigbilliondays",1575063589815459840,Shubham87697496,[],,[],
31,https://twitter.com/FlipkartHealth/status/1575061240228896768,2022-09-28 09:53:57+00:00,"Don't miss out! Grab the biggest discount on healthcare products on the Flipkart Health+ Big Billion Days sale ASAP. Shop now!
T&amp;C Apply*

#BBDPeDawaiLiaKya #FlipkartHealthPlus #BestSavingsOnMedicines #GenuineMedicines #FKH #BigBillionDays #Sale #BBD https://t.co/iWBWZn5jtL",1575061240228896768,FlipkartHealth,[],,[],
32,https://twitter.com/cursive_hair/status/1575060335006216192,2022-09-28 09:50:21+00:00,"Arey tu wahi hai n Jo Flipkart se shopping karta hai 😂 

#bigbilliondays  #scam2022 https://t.co/7Aim7pxBUX",1575060335006216192,cursive_hair,[],,[],
